agent,collected,coverage,goal_success_rate,group,seed
phase0,4.0,0.3993055555555556,1.0,speed_interp_low,1
phase1,4.0,0.71875,1.0,speed_interp_low,1
phase0,1.6666666666666667,0.34722222222222227,1.0,speed_interp_high,1
phase1,2.0,0.6840277777777777,0.6666666666666666,speed_interp_high,1
phase0,3.6666666666666665,0.44097222222222215,1.0,speed_extrap_low,1
phase1,4.0,0.7395833333333334,1.0,speed_extrap_low,1
phase0,1.3333333333333333,0.34027777777777785,1.0,speed_extrap_high,1
phase1,2.3333333333333335,0.37847222222222227,1.0,speed_extrap_high,1
phase0,2.0,0.5902777777777778,1.0,density_low,1
phase1,2.0,0.5763888888888888,1.0,density_low,1
phase0,3.3333333333333335,0.2916666666666667,1.0,density_high,1
phase1,9.333333333333334,0.4756944444444444,1.0,density_high,1
